type,playerId,roundId,points,multiplier,coins,timestamp,userId
sold,3kdl679ra6mlobdg09xqf7fft,lkZqgV3eq0EgaTe3ptr0,,,,1.61212E+12,cTeymKiCYFUGb1UyRCy3KxM3SK42
sold,31wf775s975qy3il33oora8k5,lkZqgV3eq0EgaTe3ptr0,,,,1.61213E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
sold,3vtjjrqof5z2tjj84ehadqc45,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,c1XQjZFi1Jafx9BMSGYErHq7m7N2
bought,e83zd56y74k8uecxqyo5xw7v9,,,,,1.61178E+12,7z3il0xinEOgqPvTX1j8Vy20nqG2
sold,ecbs66v836etd0l9vsxxk4ded,ylXGEHXW88rcyPwJHS9y,,,,1.61278E+12,c1YsPRwD0fcOIJjOK1yPeamOVjp1
bought,b36foqukxn8obd969q6sea7yt,,,,,1.61178E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
sold,6v1o4s2acog9guff3folo1jh1,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,qmtWMhLJ9FMBjr5ol5ODYxpnTV23
sold,cotiiu6mjkfx5xa63nhfbdf4l,OVrCWOrZ2Ilm1f3UUL4W,,,,1.61098E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
bought,cxvl0khnpfpb0csjxsatcfnit,,,,,1.61213E+12,l9RhSBEPXfYY0gcHa83Yc5KoCND3
bought,1r5zkfhxkrrgzhd0k0huxtas5,,,,,1.61281E+12,KhuBnmqHiCbGXjUPNsYF3shfmr23
sold,6vqain7mmp94wueprv9aj5xp1,OVrCWOrZ2Ilm1f3UUL4W,,,,1.61132E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
sold,c5zmr0m17riujelm4up44etih,ylXGEHXW88rcyPwJHS9y,,,,1.6136E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
bought,8k88isvd2hwr5e4gn9oxzr2t,,,,,1.6123E+12,hQ2HRM85OJd88UMYn4kDXXaR2e32
bought,8r547g1qv706wo9iqr5unfnpx,,,,,1.61177E+12,c1XQjZFi1Jafx9BMSGYErHq7m7N2
bought,ashza2qkgnak7wb3vuz5bnzyt,,,,,1.61204E+12,KhuBnmqHiCbGXjUPNsYF3shfmr23
sold,7qgt7sht6py670pt6t4wjhqay,OVrCWOrZ2Ilm1f3UUL4W,,,,1.61132E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
bought,1la1hsnuheliwojwmcbxroy96,,,,,1.61238E+12,l9RhSBEPXfYY0gcHa83Yc5KoCND3
bought,374kcix9j7e1cob4uxmfncwyd,,,,,1.61178E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
,dxndu5lwom3srja7xhiadmdw5,,,,,1.61081E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
bought,a69q0jj7tjwzxpo6b4i1ed3h1,,,,,1.61178E+12,c1YsPRwD0fcOIJjOK1yPeamOVjp1
bought,5pf4sma6x95qcuhx6wmqqzu1h,,,,,1.61402E+12,CuiJohW9fmdBQSlEv7nI3knI13x2
sold,dedo3aeufeif0l0zgwmx9nhed,ylXGEHXW88rcyPwJHS9y,,,,1.61322E+12,KRpIKFz96jYetcSpS4IoRj4vc4Y2
bought,3vtjjrqof5z2tjj84ehadqc45,,,,,1.6123E+12,KhuBnmqHiCbGXjUPNsYF3shfmr23
sold,b519ru6kog0qjrkz9fbqvvbv9,lkZqgV3eq0EgaTe3ptr0,,,,1.61203E+12,KhuBnmqHiCbGXjUPNsYF3shfmr23
bought,72nph557ee2a9tdky8rvk12vp,,,,,1.61177E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
sold,2r4ox2h5r7doo3ys9ynm2nbo5,ylXGEHXW88rcyPwJHS9y,,,,1.61455E+12,hQ2HRM85OJd88UMYn4kDXXaR2e32
bought,qrg8fu6bxjwzletvqe0dv3l5,,,,,1.61464E+12,c1YsPRwD0fcOIJjOK1yPeamOVjp1
bought,5ilkkfbsss0bxd6ttdlqg0uz9,,,,,1.61234E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
bought,c2jqa9vozhqu7x79h5rr2n1ed,,,,,1.61233E+12,sL71P1VIbKYzoZN6xmdnFt6KkXT2
bought,9k8gysrsy1a261nhcszo4aoyx,,,,,1.61116E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
sold,3vtjjrqof5z2tjj84ehadqc45,lkZqgV3eq0EgaTe3ptr0,,,,1.6121E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
sold,18paf5a7rfe4kutxjl4cwd695,ylXGEHXW88rcyPwJHS9y,,,,1.61323E+12,KhuBnmqHiCbGXjUPNsYF3shfmr23
bought,jagvvzc7329tf2c64mnc251,,,,,1.61262E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
sold,5x46bjvslvsozkw1o5ddni12h,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,QTzByRTYoiYXTJKpBdxEHDoglTZ2
sold,ehopba709zukxj4vgcync942d,lkZqgV3eq0EgaTe3ptr0,,,,1.61204E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
bought,l0qqn9tlgov91p5d1zzdupcl,,,,,1.61193E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
bought,wupxscyf4x7rsjidpmp0wnv9,,,,,1.61452E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
sold,9wbf00lybk9fqablaqwg5cn2t,ylXGEHXW88rcyPwJHS9y,,,,1.61272E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
sold,66f0rjs4c2yih8phn6meyj74l,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,b3bgT6KKEegPlM7p3yYDgIcKW7E2
bought,8govqd0xf8ijst50tgypaep5h,,,,,1.61177E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
sold,8m3okb64mh1m7dfmp0km4wct1,OVrCWOrZ2Ilm1f3UUL4W,,,,1.61098E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
bought,12ekwo6gbza410blv4b4r7ydx,,,,,1.61209E+12,e7QCz1tBToV3dHyJ4Xrj1O6K4BO2
bought,e9l5r0txzrjbenli05rn3k4wl,,,,,1.61324E+12,mUuDlOKLCoZFkU1aWebO1Y0WXsw1
sold,1e9txzr9hqz94xtun6byo0vs9,ylXGEHXW88rcyPwJHS9y,,,,1.61239E+12,l9RhSBEPXfYY0gcHa83Yc5KoCND3
bought,3vtjjrqof5z2tjj84ehadqc45,,,,,1.61325E+12,mUuDlOKLCoZFkU1aWebO1Y0WXsw1
bought,ehopba709zukxj4vgcync942d,,,,,1.61204E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
bought,9ysvzu336d2ahptkv7eoscl7u,,,,,1.61234E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
bought,72nph557ee2a9tdky8rvk12vp,,,,,1.61203E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
bought,ah82wzdixmw2rz1b994iu5m1h,,,,,1.61464E+12,c1YsPRwD0fcOIJjOK1yPeamOVjp1
bought,3vtjjrqof5z2tjj84ehadqc45,,,,,1.61203E+12,KhuBnmqHiCbGXjUPNsYF3shfmr23
sold,23637o19ff0sw18pqv8g96ndh,ylXGEHXW88rcyPwJHS9y,,,,1.61247E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
sold,604osk9a3lxpfpkavuziqmn6x,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
sold,8qwpdf5jof7o6yy47v6iv11hx,ylXGEHXW88rcyPwJHS9y,,,,1.61239E+12,hQ2HRM85OJd88UMYn4kDXXaR2e32
bought,dm0gsoqwg0f19r6jyiq8x3luy,,,,,1.61286E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
sold,3imsbq3n9zgkzp668lsbklg45,lkZqgV3eq0EgaTe3ptr0,,,,1.61204E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
sold,48hur5fmszaqltysykkb4js2d,ylXGEHXW88rcyPwJHS9y,,,,1.61453E+12,mUuDlOKLCoZFkU1aWebO1Y0WXsw1
bought,a1yoz8f4985o166nzcyigpj2t,,,,,1.61209E+12,e7QCz1tBToV3dHyJ4Xrj1O6K4BO2
sold,2pjr6yz65f4uqvwniy4vphn85,ylXGEHXW88rcyPwJHS9y,,,,1.61277E+12,mUuDlOKLCoZFkU1aWebO1Y0WXsw1
bought,eagrmpe9ft8daly57l1ja8lhx,,,,,1.61222E+12,c1XQjZFi1Jafx9BMSGYErHq7m7N2
sold,3kdl679ra6mlobdg09xqf7fft,ylXGEHXW88rcyPwJHS9y,,,,1.61455E+12,hQ2HRM85OJd88UMYn4kDXXaR2e32
bought,f5j2zq9sslh38t8bhyifsjg89,,,,,1.61178E+12,b3bgT6KKEegPlM7p3yYDgIcKW7E2
sold,8k3jxrfq2go74uy428d09wwd1,ylXGEHXW88rcyPwJHS9y,,,,1.61356E+12,7z3il0xinEOgqPvTX1j8Vy20nqG2
bought,e382powtgetwn8npxf9nqeaga,,,,,1.61222E+12,c1YsPRwD0fcOIJjOK1yPeamOVjp1
bought,bwgjvtqtuflgq4ov3xis75vbp,,,,,1.61382E+12,CuiJohW9fmdBQSlEv7nI3knI13x2
bought,vvy2kg1gd713af4yoooyj5jp,,,,,1.61229E+12,KRpIKFz96jYetcSpS4IoRj4vc4Y2
sold,biwjsmk8ytz2k4d9f141jw15h,ylXGEHXW88rcyPwJHS9y,,,,1.61444E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
sold,actvnm36s31zf8wh8hjikzlqt,lkZqgV3eq0EgaTe3ptr0,,,,1.61204E+12,7z3il0xinEOgqPvTX1j8Vy20nqG2
sold,bwa32xkblpsz5eyd7d9h8bglx,ylXGEHXW88rcyPwJHS9y,,,,1.61441E+12,mUuDlOKLCoZFkU1aWebO1Y0WXsw1
bought,acvgu9prqaeucmvi9fx070i22,,,,,1.61178E+12,mUuDlOKLCoZFkU1aWebO1Y0WXsw1
bought,aoqwr57blf70ggt9ogbt5g4ph,,,,,1.61282E+12,KRpIKFz96jYetcSpS4IoRj4vc4Y2
sold,bojsqjfaoi810xuyz0qeqs0r9,ylXGEHXW88rcyPwJHS9y,,,,1.61402E+12,CuiJohW9fmdBQSlEv7nI3knI13x2
bought,5ilkkfbsss0bxd6ttdlqg0uz9,,,,,1.61229E+12,l9RhSBEPXfYY0gcHa83Yc5KoCND3
bought,cjjo9piy65xdij746y97pyl79,,,,,1.61325E+12,mUuDlOKLCoZFkU1aWebO1Y0WXsw1
bought,3zl1q2gk6tdmzirsyfgm38no5,,,,,1.61202E+12,l9RhSBEPXfYY0gcHa83Yc5KoCND3
sold,693z0rzfh3m0h0wsma9v8c9ux,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
bought,dbtn3hglkg6kfkvkz6gvs6x1x,,,,,1.61221E+12,mIWzRDdK11eklvXD20c1DFeZGyZ2
sold,7ynz7g5313eh59e420xrvz651,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
sold,6wwagkprtmcadu8p6klcu2uhh,OVrCWOrZ2Ilm1f3UUL4W,,,,1.61126E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
bought,d9yxninyn4bac8f0ufxsnlqll,,,,,1.61178E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
bought,7ws6enixmk8w81d9rxklivrv9,,,,,1.61332E+12,c1YsPRwD0fcOIJjOK1yPeamOVjp1
bought,6jgocc12bori2wygyu07c082x,,,,,1.61178E+12,7z3il0xinEOgqPvTX1j8Vy20nqG2
sold,79a7csp3rppvt5e5q02zmolhx,ylXGEHXW88rcyPwJHS9y,,,,1.614E+12,KRpIKFz96jYetcSpS4IoRj4vc4Y2
sold,7tnuxlg9l4rjhc7j3ko36hduy,lkZqgV3eq0EgaTe3ptr0,,,,1.61204E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
sold,2lg42epaclomncu9rvajotuqd,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,c1YsPRwD0fcOIJjOK1yPeamOVjp1
bought,8dee5fk86zmtn6y54pe8vi6ll,,,,,1.61178E+12,e7QCz1tBToV3dHyJ4Xrj1O6K4BO2
bought,6hrp4zuxh40i3tccmk5s0j5xx,,,,,1.61212E+12,mIWzRDdK11eklvXD20c1DFeZGyZ2
sold,34f7qo18vadmtj5qq0w3x5xat,ylXGEHXW88rcyPwJHS9y,,,,1.61282E+12,KhuBnmqHiCbGXjUPNsYF3shfmr23
sold,dbtn3hglkg6kfkvkz6gvs6x1x,ylXGEHXW88rcyPwJHS9y,,,,1.61279E+12,mIWzRDdK11eklvXD20c1DFeZGyZ2
sold,9qdm0nxg1g046olii48z3crf9,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,e7QCz1tBToV3dHyJ4Xrj1O6K4BO2
bought,4i9u8cvqi0326gzqouf7uqju1,,,,,1.6123E+12,hQ2HRM85OJd88UMYn4kDXXaR2e32
sold,eo4uva2gnx08xdazfaqzyz2dx,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,KRpIKFz96jYetcSpS4IoRj4vc4Y2
bought,8qwpdf5jof7o6yy47v6iv11hx,,,,,1.61238E+12,cTeymKiCYFUGb1UyRCy3KxM3SK42
bought,e9275fszwk13vrihi02yonqad,,,,,1.61343E+12,CuiJohW9fmdBQSlEv7nI3knI13x2
sold,4zxrdmwphkxvkvo6bt30uanrp,lkZqgV3eq0EgaTe3ptr0,,,,1.61187E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
bought,6v1o4s2acog9guff3folo1jh1,,,,,1.61239E+12,qmtWMhLJ9FMBjr5ol5ODYxpnTV23
bought,dzsd79k6345s9105mb2r4fqol,,,,,1.6127E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
bought,5ilkkfbsss0bxd6ttdlqg0uz9,,,,,1.6123E+12,7z3il0xinEOgqPvTX1j8Vy20nqG2
bought,19npqca9guxs7p2yl5sbjmbx1,,,,,1.61178E+12,c1YsPRwD0fcOIJjOK1yPeamOVjp1
sold,59ynmlwky3h6m9g2r7a8igi96,lkZqgV3eq0EgaTe3ptr0,,,,1.61178E+12,b3bgT6KKEegPlM7p3yYDgIcKW7E2
sold,8hn7wb9jf6unade238t4vl3o5,ylXGEHXW88rcyPwJHS9y,,,,1.61437E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
bought,7ynz7g5313eh59e420xrvz651,,,,,1.61169E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
bought,c2jqa9vozhqu7x79h5rr2n1ed,,,,,1.61179E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
bought,34f7qo18vadmtj5qq0w3x5xat,,,,,1.61234E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
bought,ck9wbefxuuowsqxada2uhodsl,,,,,1.61134E+12,QTzByRTYoiYXTJKpBdxEHDoglTZ2
bought,bcqutyzafpahp2ni41u2xt4gl,,,,,1.61178E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
sold,34f7qo18vadmtj5qq0w3x5xat,ylXGEHXW88rcyPwJHS9y,,,,1.61271E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
bought,9offctffrvq9n7kcoyya675cl,,,,,1.61256E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
bought,9sbbk3dgso5zk3g48c8q8ypcl,,,,,1.61202E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
sold,8govqd0xf8ijst50tgypaep5h,lkZqgV3eq0EgaTe3ptr0,,,,1.61214E+12,iBFXP6m3r8P8YiC0b3dt3K6Vudn2
sold,6s4sb4st1ploeraxawlckr4r9,lkZqgV3eq0EgaTe3ptr0,,,,1.61203E+12,hQ2HRM85OJd88UMYn4kDXXaR2e32
bought,8d04q3yp2kouwog0lj0s7ew2x,,,,,1.61202E+12,l9RhSBEPXfYY0gcHa83Yc5KoCND3
sold,ashza2qkgnak7wb3vuz5bnzyt,lkZqgV3eq0EgaTe3ptr0,,,,1.61212E+12,KhuBnmqHiCbGXjUPNsYF3shfmr23
sold,b1lcxeihx8z6pfv1jef4j5jh1,ylXGEHXW88rcyPwJHS9y,,,,1.61453E+12,qmtWMhLJ9FMBjr5ol5ODYxpnTV23
bought,83jpq8fuprm9h1e2thoxv1tyh,,,,,1.61202E+12,cTeymKiCYFUGb1UyRCy3KxM3SK42
sold,7d9la6gbbobi9yie2ejf9uj1l,OVrCWOrZ2Ilm1f3UUL4W,,,,1.61132E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
sold,2pjr6yz65f4uqvwniy4vphn85,lkZqgV3eq0EgaTe3ptr0,,,,1.61192E+12,7z3il0xinEOgqPvTX1j8Vy20nqG2
bought,9bamtyvun46xn9e64lqn9ogyx,,,,,1.61178E+12,mUuDlOKLCoZFkU1aWebO1Y0WXsw1
bought,eagrmpe9ft8daly57l1ja8lhx,,,,,1.61261E+12,bOOKO1shXAWZDVNx5Kn7HHvg8gT2
bought,6wwagkprtmcadu8p6klcu2uhh,,,,,1.61238E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
bought,3vtjjrqof5z2tjj84ehadqc45,,,,,1.61265E+12,qP9V5njFXuXmnx05mHxfxRdjTGo2
sold,66r7rq9kcoyow46ovmhzrtec5,ylXGEHXW88rcyPwJHS9y,,,,1.61455E+12,zTqoEXFDTrfKAc3JwZlkUxtPg0s2
